Ticker,LongTermDebt_2022,NetIncome_2022,FiscalYear
ACU,33037172,13655679,2022
ADP,2985000000,2466500000,2022
CTAS,1642833000,876037000,2022
DORM,0,106870000,2022
IDXX,775205000,581776000,2022
ORLY,3826978000,1752302000,2022
POOL,1171578000,366738000,2022
TSCO,986382000,748958000,2022
UFPI,277567000,246778000,2022
WDFC,114940000,60710000,2022
AME,2229148000,872439000,2022
AZO,5269820000,1732972000,2022
CBZ,154851000,78299000,2022
CLX,2484000000,939000000,2022
EPAM,30234000,327160000,2022
LMT,11670000000,6833000000,2022
MCO,7413000000,1778000000,2022
NOC,12777000000,3189000000,2022
SNA,1182900000,627000000,2022
TTC,691242000,329701000,2022
UHS,4141879000,943953000,2022
UNH,42383000000,15403000000,2022
WST,208800000,346200000,2022